Name 	Title 	Level 	Location 	Offers
Timothy Weldon 	Heavy Armor Merchant 	30 	The Undercity, Ruins of Lordaeron 	-
Gordon Wendham 	Weapons Merchant 	30 	The Undercity, Ruins of Lordaeron 	-
Louis Warren 	Weapons Merchant 	30 	The Undercity, Ruins of Lordaeron 	-
Walter Ellingson (UNUSED) 	Heavy Armor Merchant 	30 	The Undercity, Ruins of Lordaeron 	-
Daniel Bartlett 	General Trade Supplier 	30 	The Undercity, Ruins of Lordaeron 	-
Lauren Newcomb 	Light Armor Merchant 	30 	The Undercity, Ruins of Lordaeron 	-
Thomas Mordan 	Reagent Vendor 	30 	The Undercity, Ruins of Lordaeron 	-
Eleanor Rusk 	General Goods Vendor 	30 	The Undercity, Trade Quarter 	-
Merill Pleasance 	Tabard Vendor 	25 	The Undercity, Trade Quarter 	-
Ronald Burch 	Cooking Supplier 	30 	The Undercity, Trade Quarter 	-
Mrs. Winters 	General Supplies 	10 	Tirisfal Glades, Brill 	-
Abigail Shiel 	Trade Supplies 	9 	Tirisfal Glades, Brill 	-
Oliver Dwor 	Apprentice Weaponsmith 	13 	The Undercity, Brill 	-
Abe Winters 	Apprentice Armorer 	14 	Tirisfal Glades, Brill 	-
Innkeeper Renee 	Innkeeper 	10 	Gallow's End Tavern, Brill 	-
Reese Langston 	Tavernkeeper 	30 	Stormwind City, Stormwind City 	-
Heinrich Stone 	Blade Merchant 	30 	Stormwind City, Stormwind City 	-
Alyssa Griffith 	Bag Vendor 	30 	Stormwind City, Stormwind City 	-
Seoman Griffith 	Leather Armor Merchant 	30 	Stormwind City, Stormwind City 	-
Marda Weller 	Weapons Merchant 	30 	Stormwind City, Stormwind City 	-
Gunther Weller 	Weapons Merchant 	30 	Stormwind City, Stormwind City 	-
Lara Moore 	Leather Armor Merchant 	30 	Stormwind City, Stormwind City 	-
Aldric Moore 	Mail Armor Merchant 	30 	Stormwind City, Stormwind City 	-
Carla Granger 	Cloth Armor Merchant 	30 	Stormwind City, Stormwind City 	-
Karen Taylor 	Mining and Smithing Supplies 	22 	Redridge Mountains, Lakeshire 	-
Bartender Wental 	Food and Drinks 	21 	, Lakeshire 	-
Franklin Hamar 	Clothier 	26 	, Lakeshire 	-
Quartermaster Lewis 	Quartermaster 	20 	Sentinel Tower, Sentinel Hill 	-
Patrice Dwyer 	Poison Supplies 	19 	Silverpine Forest, The Sepulcher 	-
Andrew Hilbert 	Trade Goods 	19 	Crypt, The Sepulcher 	-
Sebastian Meloche 	Armorer 	18 	Crypt, The Sepulcher 	-
Felicia Doan 	General Trade Goods Vendor 	30 	The Undercity, Ruins of Lordaeron 	-
Charles Seaton 	Blade Merchant 	30 	The Undercity, Rogues' Quarter 	-
Ezekiel Graves 	Poison Vendor 	30 	The Undercity, Rogues' Quarter 	-
Gillian Moore 	Leather Armor Merchant 	30 	The Undercity, Rogues' Quarter 	-
Joseph Moore 	Leatherworking Supplier 	30 	The Undercity, Rogues' Quarter 	-
Jonathan Chambers 	Bag Vendor 	30 	The Undercity, Rogues' Quarter 	-
Elizabeth Van Talen 	Engineering Supplier 	30 	The Undercity, Rogues' Quarter 	-
Algernon 	Alchemy Supplier 	30 	The Undercity, The Apothecarium 	-
Abigail Sawyer 	Bow Merchant 	30 	The Undercity, War Quarter 	-
Sarah Killian 	Mining Supplier 	30 	The Undercity, War Quarter 	-
Benijah Fenner 	Mace Merchant 	30 	The Undercity, War Quarter 	-
Geoffrey Hartwell 	Blade Merchant 	30 	The Undercity, War Quarter 	-
Francis Eliot 	Axe Merchant 	30 	The Undercity, War Quarter 	-
Mirelle Tremayne 	Heavy Armor Merchant 	30 	The Undercity, War Quarter 	-
Samuel Van Brunt 	Blacksmithing Supplier 	30 	The Undercity, War Quarter 	-
Nicholas Atwood 	Gun Merchant 	30 	The Undercity, War Quarter 	-
Zane Bradford 	Wand Vendor 	10 	The Undercity, Magic Quarter 	-
Sydney Upton 	Staff Merchant 	30 	The Undercity, Magic Quarter 	-
Sheldon Von Croy 	Light Armor Merchant 	30 	The Undercity, Magic Quarter 	-
Millie Gregorian 	Tailoring Supplier 	30 	The Undercity, Magic Quarter 	-
Lucille Castleton 	Robe Vendor 	30 	The Undercity, Magic Quarter 	-
Morley Bates 	Fungus Vendor 	30 	The Undercity, Magic Quarter 	-
Morley Bates 	Fungus Vendor 	30 	The Undercity, Magic Quarter 	-
Hannah Akeley 	Reagent Supplier 	30 	The Undercity, Magic Quarter 	-
Shalomon 	Weaponsmith 	18 	Teldrassil, Dolanaar 	-
Meri Ironweave 	Armorer & Shieldcrafter 	19 	Teldrassil, Dolanaar 	-
Gina MacGregor 	Trade Supplies 	15 	Westfall, Sentinel Hill 	-
Brog Hamfist 	General Supplies 	10 	Lion's Pride Inn, Goldshire 	-
Barkeep Dobbins 	Bartender 	10 	Lion's Pride Inn, Goldshire 	-
Toddrick 	Butcher 	10 	Lion's Pride Inn, Goldshire 	-
Tharynn Bouden 	Trade Supplies 	10 	Elwynn Forest, Goldshire 	-
Alyssa Eva 	Reagent Vendor 	7 	, Darkshire 	-
Lohgan Eva 	Tailoring Supplier 	5 	, Darkshire 	-
Scott Carevin 	Mushroom Seller 	25 	, Darkshire 	-
Gavin Gnarltree 	Weaponsmith 	30 	, Darkshire 	-
Morg Gnarltree 	Armorer 	30 	, Darkshire 	-
Mabel Solaj 	General Goods Vendor 	26 	Scarlet Raven Tavern, Darkshire 	-
Barkeep Hann 	Bartender 	26 	Scarlet Raven Tavern, Darkshire 	-
Herble Baubbletump 	Engineering and Mining Supplies 	30 	Duskwood, Darkshire 	-
Name 	Title 	Level 	Location 	Offers
Eunice Burch 	Cooking Trainer 	35 	The Undercity, Trade Quarter 	-
Carolai Anise 	Apprentice Alchemist 	12 	The Undercity, Brill 	-
Isabella 	Mage Trainer 	5 	The Undercity, Deathknell 	-
Dark Cleric Duesten 	Priest Trainer 	5 	The Undercity, Deathknell 	-
Maximillion 	Warlock Trainer 	5 	The Undercity, Deathknell 	-
Kayla Smithe 	Demon Pet Trainer 	10 	The Undercity, Deathknell 	-
Nurse Neela 	First Aid Trainer 	10 	Gallow's End Tavern, Brill 	-
Austil de Mon 	Warrior Trainer 	16 	Gallow's End Tavern, Brill 	-
Cain Firesong 	Mage Trainer 	14 	Gallow's End Tavern, Brill 	-
Gina Lang 	Demon Pet Trainer 	10 	Gallow's End Tavern, Brill 	-
Rupert Boch 	Warlock Trainer 	15 	Gallow's End Tavern, Brill 	-
Dark Cleric Beryl 	Priest Trainer 	17 	Gallow's End Tavern, Brill 	-
Marion Call 	Rogue Trainer 	13 	Gallow's End Tavern, Brill 	-
