Entry : 2289 | Name : Connor McCoy | Subname : Spirit Healer | Type: 7 | Static Flags : 10485862 | Beast Family : 0
Entry : 823 | Name : Deputy Willem | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5403 | Name : White Stallion | Subname :  | Type: 1 | Static Flags : 1 | Beast Family : 0
Entry : 69 | Name : Timber Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 299 | Name : Young Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 721 | Name : Rabbit | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 911 | Name : Llane Beshere | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 197 | Name : Marshal McBride | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6067 | Name : Meritt Herrion | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 459 | Name : Drusilla La Salle | Subname : Warlock Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 925 | Name : Brother Sammuel | Subname : Paladin Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1642 | Name : Northshire Guard | Subname :  | Type: 7 | Static Flags : 2 | Beast Family : 0
Entry : 952 | Name : Brother Neals | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 196 | Name : Eagan Peltskinner | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 951 | Name : Brother Paxton | Subname : Librarian | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 190 | Name : Dermot Johns | Subname : Cloth and Leather | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 152 | Name : Brother Danil | Subname : General Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1213 | Name : Godric Rothgar | Subname : Armorer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 78 | Name : Janos Hammerknuckle | Subname : Weaponsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 198 | Name : Khelden Bremen | Subname : Mage Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 375 | Name : Priestess Anetta | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 416 | Name : Imp | Subname :  | Type: 3 | Static Flags : 1048582 | Beast Family : 23
Entry : 915 | Name : Jorik Kerridan | Subname : Rogue Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 883 | Name : Deer | Subname :  | Type: 8 | Static Flags : 22 | Beast Family : 0
Entry : 6 | Name : Kobold Vermin | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 257 | Name : Kobold Worker | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 890 | Name : Fawn | Subname :  | Type: 8 | Static Flags : 22 | Beast Family : 0
Entry : 80 | Name : Kobold Laborer | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2442 | Name : Cow | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 524 | Name : Rockhide Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 476 | Name : Kobold Geomancer | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 327 | Name : Goldtooth | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 475 | Name : Kobold Tunneler | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 40 | Name : Kobold Miner | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 30 | Name : Forest Spider | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 822 | Name : Young Forest Bear | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 4
Entry : 113 | Name : Stonetusk Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 244 | Name : Ma Stonefield | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 248 | Name : Gramma Stonefield | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 246 | Name : "Auntie" Bernice Stonefield | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 894 | Name : Homer Stonefield | Subname : Fruit Seller | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1933 | Name : Sheep | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 2293 | Name : Sherra Vayne | Subname : Spirit Healer | Type: 7 | Static Flags : 10485862 | Beast Family : 0
Entry : 66 | Name : Tharynn Bouden | Subname : Trade Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 241 | Name : Remy "Two Times" | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1423 | Name : Stormwind Guard | Subname :  | Type: 7 | Static Flags : 2 | Beast Family : 0
Entry : 2942 | Name : Dylan Bissel | Subname : Wolf Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 328 | Name : Valdios Ellmara | Subname : Mage Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 927 | Name : Brother Wilhelm | Subname : Paladin Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5406 | Name : Palomino | Subname :  | Type: 1 | Static Flags : 1 | Beast Family : 0
Entry : 5449 | Name : Tamed Wolf | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 1
Entry : 620 | Name : Chicken | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 913 | Name : Lyria Du Lac | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2046 | Name : Andrew Krighton | Subname : Armorer & Shieldcrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 514 | Name : Smith Argus | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 240 | Name : Marshal Dughan | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 74 | Name : Kurran Steele | Subname : Clothier & Leathercrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 54 | Name : Corina Steele | Subname : Weaponsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2329 | Name : Michelle Belle | Subname : Physician | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 295 | Name : Innkeeper Farley | Subname :  | Type: 7 | Static Flags : 100 | Beast Family : 0
Entry : 377 | Name : Priestess Josetta | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 253 | Name : William Pestle | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6121 | Name : Remen Marcot | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 906 | Name : Maximillian Crowe | Subname : Warlock Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1430 | Name : Tomas | Subname : Cook | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 917 | Name : Keryn Sylvius | Subname : Rogue Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3935 | Name : Toddrick | Subname : Butcher | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 151 | Name : Brog Hamfist | Subname : General Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 465 | Name : Barkeep Dobbins | Subname : Bartender | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 525 | Name : Mangy Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 3937 | Name : Kira Songshine | Subname : Traveling Baker | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 797 | Name : Bo | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 795 | Name : Mark | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 796 | Name : Joshua | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6306 | Name : Donna Anthony | Subname : Skinner | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1860 | Name : Voidwalker | Subname :  | Type: 3 | Static Flags : 6 | Beast Family : 16
