Entry : 721 | Name : Rabbit | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 1984 | Name : Young Thistle Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 2079 | Name : Conservator Ilthalaine | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1992 | Name : Tarindrella | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2031 | Name : Young Nightsaber | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 1988 | Name : Grell | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2077 | Name : Melithar Staghelm | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2082 | Name : Gilshalan Windwalker | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 883 | Name : Deer | Subname :  | Type: 8 | Static Flags : 22 | Beast Family : 0
Entry : 3571 | Name : Teldrassil Sentinel | Subname :  | Type: 7 | Static Flags : 2 | Beast Family : 0
Entry : 3589 | Name : Keina | Subname : Bowyer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1989 | Name : Grellkin | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1985 | Name : Thistle Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 1420 | Name : Toad | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 3587 | Name : Lyrai | Subname : General Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3590 | Name : Janna Brightmoon | Subname : Clothier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3591 | Name : Freja Nightwing | Subname : Leathercrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3595 | Name : Shanda | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3588 | Name : Khardan Proudblade | Subname : Weaponsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3592 | Name : Andiss | Subname : Armorer & Shieldcrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3596 | Name : Ayanna Everstride | Subname : Hunter Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3597 | Name : Mardant Strongoak | Subname : Druid Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6091 | Name : Dellylah | Subname : Grocer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2032 | Name : Mangy Nightsaber | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 6780 | Name : [PH] Porthannius | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 3593 | Name : Alyissia | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3594 | Name : Frahun Shadewhisper | Subname : Rogue Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3514 | Name : Tenaron Stormgrip | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1998 | Name : Webwood Lurker | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 1995 | Name : Strigid Owl | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 7
Entry : 2042 | Name : Nightsaber | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 2150 | Name : Zenn Foulhoof | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2107 | Name : Gaerolas Talvethren | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2008 | Name : Gnarlpine Warrior | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2006 | Name : Gnarlpine Ursa | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2007 | Name : Gnarlpine Gardener | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 3601 | Name : Dazalar | Subname : Hunter Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3598 | Name : Kyra Windblade | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3613 | Name : Meri Ironweave | Subname : Armorer & Shieldcrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3612 | Name : Sinda | Subname : Leathercrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3609 | Name : Shalomon | Subname : Weaponsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2041 | Name : Ancient Protector | Subname :  | Type: 5 | Static Flags : 2 | Beast Family : 0
Entry : 2083 | Name : Syral Bladeleaf | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2078 | Name : Athridas Bearmantle | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6781 | Name : [PH] Melarith | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2081 | Name : Sentinel Kyra Starsong | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3610 | Name : Jeena Featherbow | Subname : Bowyer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3599 | Name : Jannok Breezesong | Subname : Rogue Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3567 | Name : Tallonkai Swiftroot | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3600 | Name : Laurna Morninglight | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3608 | Name : Aldia | Subname : General Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4266 | Name : Danlyia | Subname : Grocer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6094 | Name : Byancie | Subname : First Aid Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3614 | Name : Narret Shadowgrove | Subname : Trade Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3611 | Name : Brannol Eaglemoon | Subname : Clothier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6736 | Name : Innkeeper Keldamyr | Subname : Innkeeper | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2151 | Name : Sentinel Amara Nightwalker | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3697 | Name : Kyln Longclaw | Subname : Boar Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5437 | Name : Tamed Boar | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 5
Entry : 3515 | Name : Corithras Moonrage | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3602 | Name : Kal | Subname : Druid Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3603 | Name : Cyndra Kindwhisper | Subname : Alchemist | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6286 | Name : Zarrin | Subname : Cook | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4265 | Name : Nyoma | Subname : Cooking Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3604 | Name : Malorne Bladeleaf | Subname : Herbalist | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6491 | Name : Spirit Healer | Subname :  | Type: 7 | Static Flags : 10485862 | Beast Family : 0
Entry : 2022 | Name : Timberling | Subname :  | Type: 4 | Static Flags : 0 | Beast Family : 0
Entry : 2010 | Name : Gnarlpine Defender | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2009 | Name : Gnarlpine Shaman | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2025 | Name : Timberling Bark Ripper | Subname :  | Type: 4 | Static Flags : 0 | Beast Family : 0
Entry : 2080 | Name : Denalan | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2152 | Name : Gnarlpine Ambusher | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2003 | Name : Shadow Sprite | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
