Entry : 252 | Name : Tommy Joe Stonefield | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 721 | Name : Rabbit | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 478 | Name : Riverpaw Outrunner | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 97 | Name : Riverpaw Runt | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 119 | Name : Longsnout | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 822 | Name : Young Forest Bear | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 4
Entry : 6491 | Name : Spirit Healer | Subname :  | Type: 7 | Static Flags : 10485862 | Beast Family : 0
Entry : 2442 | Name : Cow | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 1423 | Name : Stormwind Guard | Subname :  | Type: 7 | Static Flags : 2 | Beast Family : 0
Entry : 448 | Name : Hogger | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1860 | Name : Voidwalker | Subname :  | Type: 3 | Static Flags : 6 | Beast Family : 16
Entry : 416 | Name : Imp | Subname :  | Type: 3 | Static Flags : 1048582 | Beast Family : 23
Entry : 1933 | Name : Sheep | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 454 | Name : Young Goretusk | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 525 | Name : Mangy Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
Entry : 2938 | Name : Aldric Hunter | Subname : Bear Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5433 | Name : Tamed Bear | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 4
Entry : 113 | Name : Stonetusk Boar | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 30 | Name : Forest Spider | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 475 | Name : Kobold Tunneler | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 883 | Name : Deer | Subname :  | Type: 8 | Static Flags : 22 | Beast Family : 0
Entry : 94 | Name : Defias Cutpurse | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 927 | Name : Brother Wilhelm | Subname : Paladin Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 66 | Name : Tharynn Bouden | Subname : Trade Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 74 | Name : Kurran Steele | Subname : Clothier & Leathercrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 514 | Name : Smith Argus | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 913 | Name : Lyria Du Lac | Subname : Warrior Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 240 | Name : Marshal Dughan | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 54 | Name : Corina Steele | Subname : Weaponsmith | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2046 | Name : Andrew Krighton | Subname : Armorer & Shieldcrafter | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 797 | Name : Bo | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 796 | Name : Joshua | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 795 | Name : Mark | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 620 | Name : Chicken | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 6778 | Name : Melika Isenstrider | Subname : Assistant Innkeeper | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2942 | Name : Dylan Bissel | Subname : Wolf Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 328 | Name : Zaldimar Wefhellt | Subname : Mage Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 241 | Name : Remy "Two Times" | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5403 | Name : White Stallion | Subname :  | Type: 1 | Static Flags : 1 | Beast Family : 0
Entry : 5406 | Name : Palomino | Subname :  | Type: 1 | Static Flags : 1 | Beast Family : 0
Entry : 5449 | Name : Tamed Wolf | Subname :  | Type: 1 | Static Flags : 102 | Beast Family : 1
Entry : 377 | Name : Priestess Josetta | Subname : Priest Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 2329 | Name : Michelle Belle | Subname : Physician | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 253 | Name : William Pestle | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6749 | Name : Innkeeper Erma | Subname : Innkeeper | Type: 7 | Static Flags : 100 | Beast Family : 0
Entry : 295 | Name : Farley | Subname :  | Type: 7 | Static Flags : 100 | Beast Family : 0
Entry : 917 | Name : Keryn Sylvius | Subname : Rogue Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 151 | Name : Brog Hamfist | Subname : General Supplies | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6121 | Name : Remen Marcot | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6374 | Name : Cylina Darkheart | Subname : Imp Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 906 | Name : Maximillian Crowe | Subname : Warlock Trainer | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1430 | Name : Tomas | Subname : Cook | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 465 | Name : Barkeep Dobbins | Subname : Bartender | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3935 | Name : Toddrick | Subname : Butcher | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 890 | Name : Fawn | Subname :  | Type: 8 | Static Flags : 22 | Beast Family : 0
Entry : 299 | Name : Young Wolf | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 1
