Entry : 2457 | Name : John Burnside | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 2455 | Name : Olivia Burnside | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 2456 | Name : Newton Burnside | Subname : Banker | Type: 7 | Static Flags : 16777326 | Beast Family : 0
Entry : 482 | Name : Elling Trias | Subname : Master of Cheese | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6174 | Name : Stephanie Turner | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1275 | Name : Kyra Boucher | Subname : Reagent Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1432 | Name : Renato Gallina | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 68 | Name : Stormwind City Guard | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 279 | Name : Morgan Pestle | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 5193 | Name : Rebecca Laughlin | Subname : Tabard Vendor | Type: 7 | Static Flags : 65638 | Beast Family : 0
Entry : 1257 | Name : Keldric Boucher | Subname : Arcane Goods Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1286 | Name : Edna Mullby | Subname : Trade Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4974 | Name : Aldwin Laughlin | Subname : Guild Master | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1285 | Name : Thurman Mullby | Subname : General Goods Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4075 | Name : Rat | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 3513 | Name : Miss Danna | Subname : School Mistress | Type: 7 | Static Flags : 104 | Beast Family : 0
Entry : 3509 | Name : Geoff | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3512 | Name : Jimmy | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3508 | Name : Mikey | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3511 | Name : Steven | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3510 | Name : Twain | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3505 | Name : Pat | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 3507 | Name : Andi | Subname :  | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1295 | Name : Lara Moore | Subname : Leather Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1294 | Name : Aldric Moore | Subname : Mail Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1291 | Name : Carla Granger | Subname : Cloth Armor Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1427 | Name : Harlan Bagley | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1289 | Name : Gunther Weller | Subname : Weapons Merchant | Type: 7 | Static Flags : 110 | Beast Family : 0
Entry : 1287 | Name : Marda Weller | Subname : Weapons Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1301 | Name : Julia Gallina | Subname : Wine Vendor | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1431 | Name : Suzetta Gallina | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 6740 | Name : Innkeeper Allison | Subname : Innkeeper | Type: 7 | Static Flags : 100 | Beast Family : 0
Entry : 277 | Name : Roberto Pupellyverbos | Subname : Merlot Connoisseur | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1428 | Name : Rema Schneider | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1402 | Name : Topper McNabb | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 1297 | Name : Lina Stover | Subname : Arrow Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1299 | Name : Lisbeth Schneider | Subname : Clothier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1298 | Name : Frederick Stover | Subname : Bow & Arrow Merchant | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 3518 | Name : Thomas Miller | Subname : Baker | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 483 | Name : Elaine Trias | Subname : Mistress of Cheese | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4981 | Name : Ben Trias | Subname : Apprentice of Cheese | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1433 | Name : Corbett Schneider | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 2334 | Name : Event Generator 001 | Subname :  | Type: 0 | Static Flags : 102 | Beast Family : 0
Entry : 1303 | Name : Felicia Gump | Subname : Herbalism Supplier | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1302 | Name : Bernard Gump | Subname : Florist | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 1976 | Name : Stormwind City Patroller | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 466 | Name : General Marcus Jonathan | Subname : High Commander of Stormwind Defense | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 352 | Name : Dungar Longdrink | Subname : Gryphon Master | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 4959 | Name : Jorgen | Subname :  | Type: 7 | Static Flags : 102 | Beast Family : 0
Entry : 721 | Name : Rabbit | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 883 | Name : Deer | Subname :  | Type: 8 | Static Flags : 22 | Beast Family : 0
Entry : 2442 | Name : Cow | Subname :  | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 1423 | Name : Stormwind Guard | Subname :  | Type: 7 | Static Flags : 2 | Beast Family : 0
Entry : 5917 | Name : Clara Charles | Subname :  | Type: 7 | Static Flags : 0 | Beast Family : 0
Entry : 30 | Name : Forest Spider | Subname :  | Type: 1 | Static Flags : 16 | Beast Family : 3
