Entry : 2031 | Name : Young Nightsaber | Subname :  | Display Id : 11454 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 1984 | Name : Young Thistle Boar | Subname :  | Display Id : 8869 | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 1992 | Name : Tarindrella | Subname :  | Display Id : 10034 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 2079 | Name : Conservator Ilthalaine | Subname :  | Display Id : 1285 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 721 | Name : Rabbit | Subname :  | Display Id : 328 | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 2077 | Name : Melithar Staghelm | Subname :  | Display Id : 4237 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 2082 | Name : Gilshalan Windwalker | Subname :  | Display Id : 2458 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 3571 | Name : Teldrassil Sentinel | Subname :  | Display Id : 4849 | Type: 7 | Static Flags : 4194306 | Beast Family : 0
Entry : 3590 | Name : Janna Brightmoon | Subname : Clothier | Display Id : 1727 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 3589 | Name : Keina | Subname : Bowyer | Display Id : 1728 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 1988 | Name : Grell | Subname :  | Display Id : 6806 | Type: 3 | Static Flags : 0 | Beast Family : 0
Entry : 3587 | Name : Lyrai | Subname : General Supplies | Display Id : 1730 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 3597 | Name : Mardant Strongoak | Subname : Druid Trainer | Display Id : 1732 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 3595 | Name : Shanda | Subname : Priest Trainer | Display Id : 1733 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 3588 | Name : Khardan Proudblade | Subname : Weaponsmith | Display Id : 1729 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 3592 | Name : Andiss | Subname : Armorer & Shieldcrafter | Display Id : 1722 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 3596 | Name : Ayanna Everstride | Subname : Hunter Trainer | Display Id : 1723 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 3591 | Name : Freja Nightwing | Subname : Leather Armor Merchant | Display Id : 1726 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 6091 | Name : Dellylah | Subname : Grocer | Display Id : 4861 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 1989 | Name : Grellkin | Subname :  | Display Id : 3023 | Type: 3 | Static Flags : 0 | Beast Family : 0
Entry : 1985 | Name : Thistle Boar | Subname :  | Display Id : 6807 | Type: 1 | Static Flags : 16 | Beast Family : 5
Entry : 883 | Name : Deer | Subname :  | Display Id : 347 | Type: 8 | Static Flags : 1064982 | Beast Family : 0
Entry : 8583 | Name : Dirania Silvershine | Subname :  | Display Id : 7895 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 2032 | Name : Mangy Nightsaber | Subname :  | Display Id : 11448 | Type: 1 | Static Flags : 16 | Beast Family : 2
Entry : 3593 | Name : Alyissia | Subname : Warrior Trainer | Display Id : 1721 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 3594 | Name : Frahun Shadewhisper | Subname : Rogue Trainer | Display Id : 1725 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 3514 | Name : Tenaron Stormgrip | Subname :  | Display Id : 1527 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 1420 | Name : Toad | Subname :  | Display Id : 901 | Type: 8 | Static Flags : 6 | Beast Family : 0
Entry : 1986 | Name : Webwood Spider | Subname :  | Display Id : 709 | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 8584 | Name : Iverron | Subname :  | Display Id : 7901 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 1994 | Name : Githyiss the Vile | Subname :  | Display Id : 759 | Type: 1 | Static Flags : 16 | Beast Family : 3
Entry : 6491 | Name : Spirit Healer | Subname :  | Display Id : 5233 | Type: 7 | Static Flags : 2097510 | Beast Family : 0
Entry : 6780 | Name : Porthannius | Subname :  | Display Id : 5748 | Type: 7 | Static Flags : 138412134 | Beast Family : 0
Entry : 1995 | Name : Strigid Owl | Subname :  | Display Id : 10832 | Type: 1 | Static Flags : 16 | Beast Family : 26
Entry : 2042 | Name : Nightsaber | Subname :  | Display Id : 6805 | Type: 1 | Static Flags : 16 | Beast Family : 2
